"NAME","ACCOUNTNAME__C","ACCOUNTNUMBER__C","SALESAREANAME__C","SHOPPINGCART__C","url","PAYMENTPAGEURL__C"
"SA00485650","00110000011xdBDAAY","SP00774402","ハッピー名刺 （PC）","EC-CUBE","http://happy-meishi.com",""
"SA00493595","0011000000WweZfAAJ","SP00731217","五彩堂（PC・スマホ）","EC-CUBE","http://www.gosaido.co.jp/",""
"SA00493958","00110000013EvL0AAK","SP00775808","Beauty-Glad（PC・スマホ・フィーチャーフォン）","EC-CUBE","https://beauty-glad.jp/",""
"SA00475332","0011000000qP5x9AAC","SP00746914","トノタウン（PC)","EC-CUBE","http://tonotown.jp",""
"SA00474246","0011000000oggGEAAY","SP00745424","総健美舎（PC、スマホ、フィーチャーフォン）","EC-CUBE","http://www.soukenbisya.com",""
"SA00474596","0011000000p9QOgAAM","SP00745580","「DEA」公式通販サイト（PC、スマホ）","EC-CUBE","http://dea.co.jp",""
"SA00474297","0011000000IamGzAAJ","SP00647101","ALICIA Online Store（PC、スマホ）","EC-CUBE","http://alicia-online.jp",""
"SA00491472","00110000015GbUuAAK","SP00792608","オフィスガーデン　（PC・スマホ・フィーチャーフォン）","EC-CUBE","http://www.officegarden.net",""
"SA00474373","0011000000p6uMLAAY","SP00745468","スパークオンラインショップ（PC、スマホ、フィーチャーフォン）","EC-CUBE","http://shop.jspark.com",""
"SA00479231","0011000000ucaZ1AAI","SP00750614","ドクター・ウォーター　パートナーズウェブショップ（PC・スマホ）","EC-CUBE","http://dr.meisui-tabibito.com/login/",""
"SA00509916","0015F000019K2foQAC","SP00821370","マッスルエレメンツ　（PC・スマホ）","EC-CUBE","http://muscle-elements.jp/user_data/hmb.php",""
"SA00479246","0011000000udUfsAAE","SP00751858","茶庵はかた珈琲ネットショップ　（PC・スマホ）","EC-CUBE","http://hakatacoffee.com",""
"SA00479251","0011000000jtBapAAE","SP00740134","あんしんあんぜん総合研究所（PC、スマホ）","EC-CUBE","http://anshin-anzen-laboratory.com/shop/",""
"SA00479241","0011000000Ww0NBAAZ","SP00724882","キレイアップラボ本店（PC・スマホ）","EC-CUBE","http://kirei-up-labo2.com",""
"SA00474537","0011000000p8VcJAAU","SP00745553","ニコストップ（PC、スマホ）","EC-CUBE","http://www.nicostop.jp",""
"SA00474535","0011000000p8VcJAAU","SP00745553","エンジェルアップp001（PC、スマホ、フィーチャーフォン）","EC-CUBE","http://g-cosme.net/product/view/angls/p001",""
"SA00474536","0011000000p8VcJAAU","SP00745553","キダチアロエニン（PC、スマホ、フィーチャーフォン）","EC-CUBE","http://aroenin.com/pc/",""
"SA00474541","0011000000p8VcJAAU","SP00745553","ボーツーステージA-women（PC、スマホ）","EC-CUBE","http://g-cosme.net/product/view/b2s/bs1women",""
"SA00474534","0011000000p8VcJAAU","SP00745553","エンジェルアップ（PC、スマホ、フィーチャーフォン）","EC-CUBE","http://g-cosme.net/product/view/angls/ujbsq",""
"SA00474540","0011000000p8VcJAAU","SP00745553","ボーツーステージA-men（PC、スマホ）","EC-CUBE","http://g-cosme.net/product/view/b2s/bs1men",""
"SA00474539","0011000000p8VcJAAU","SP00745553","マイカロリSP（PC、スマホ、フィーチャーフォン）","EC-CUBE","http://g-cosme.net/product/view/mkrl/mkrllpasp",""
